Title,Summary
The Freshly Cut Grass,"Pablo, a university professor, becomes romantically involved with a student. At the same time, Natalia, a university professor, becomes romantically involved with a student. Two paralleled stories, similar but different at the same time."
The Deb,An original comedy musical about two teenage girls attending a debutante ball in a small country town.
Linda,"Self-assured Linda begins working for a wealthy Buenos Aires family. Her charm ignites sexual tension, exposing the fragility beneath their happy facade."
The Night Before Christmas in Wonderland,"The Queen of Hearts has outlawed Christmas. As a child, the white rabbit missed her gift. Years later, Father Christmas receives the lost letter and voyages to Wonderland. With the help of curious young Alice, can Christmas be saved?"
Man and Witch: The Dance of a Thousand Steps,"A goatherd seeks help from a witch to break a curse that prevents him from taking a wife, so she sets upon him a series of impossible tasks."
12 to Midnight,"A detective, despondent after the murder of his wife and forced to resign, is brought back to the force when a serial killer appears to be taunting him and turns out to be superhuman."
Love Switch,"Married couple James and Michelle, on the verge of divorce, magically switch bodies on their anniversary. Forced to experience life from each other's perspectives, they gain newfound respect and understanding, rekindling their love."
The Last Front,"Amidst World War I's chaos, a grieving father turns hero, leading villagers to safety while evading a relentless enemy driven by vengeance."
A Christmas Castle Proposal: A Royal in Paradise 2,"Despite busy schedules causing distance, Olivia and Prince Alexander travel to Torovia for Christmas with his family. Clashing cultures between their families lead to various mishaps."
Bagheera,"When society turns into a jungle, just one predator cries out for justice."
Honeymoonish,A newly married couple realize on their honeymoon that they really are completely different. But do opposites attract?
Do Not Enter,"Two friends, aspiring YouTubers, trespass where they shouldn't. Their adventure takes a terrifying turn as they confront an unimaginable horror"
A Desert,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
Quiet Life,"Refugee family in Sweden faces trauma after youngest daughter falls into unexplained coma when asylum denied. Parents struggle to find cure, resilience tested amid difficult circumstances."
Cortina Express,"Lucio is trying to stop his nephew's (Andrea) marriage with Patrizia's daughter, also Patrizia is trying to sell her indebted record label to Dino. The story is set in Cortina where Dino' daughter (Giorgia) falls in love with Gennaro"
Eterno visionario,"The life and career of a Nobel Prize-winning author, exploring his conflicted relationships, controversial stance on fascism, and pursuit of unconditional love, spanning Rome, Stockholm, Berlin, Sicily, Milan, and America."
Decoded,"In the 1940s, the world was turbulent, and it was crucial to decipher enemy's communication codes timely and accurately. Rong Jinzhen showed a unique talent. He was noticed by more because he accidentally solved the difficult problem."
Perfect Endings,"João and Hugo end their 10-year relationship but stay best friends. As they start dating again, uncontrollable emotions arise, contrasting the planned perfection of their breakup."
Victory,"A high school dance duo and a soccer team on a remote island. Two girls create a cheer leading club to pursue their love of dance, but they soon find themselves enthusiastically cheering on the soccer team and the entire island."
The Lockdown,"Siblings Charlie and Jack are trapped in Myanmar's toughest prison and accused of a crime they didn't commit. Forced into televised fights against other inmates, they must work together and fight for their freedom."
Off the Record,"LA musician Astor Grey seems to have it all - true love, a big break, and a hot rock star boyfriend - but in the cutthroat music industry, success and love come at a cost, and nothing is as perfect as it seems."
"Hammer: Heroes, Legends and Monsters","Showcases Hammer Films through the eyes of its actors, filmmakers and fans, tracing the history of the production house."
Witch,"Small town, England. 1575. William embarks on a journey to prove the innocence of his wife, Twyla, falsely accused of being a witch and will be put to death if found guilty. William must hunt down the real witch, to save Twyla from death."
Beezel,"Over 60 years, three guests of a cursed home discover an eternal witch who lives beneath it with an insatiable thirst for living souls."
Skywalkers: A Love Story,"A daring couple travels worldwide to climb the 118-story megatall skyscraper, Merdeka 118, in Kuala Lumpur, Malaysia, attempting a bold acrobatic stunt on the spire to salvage both their career and relationship."
Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters."
Seeds,"Ziggy, a Mohawk woman, gets hired as an influencer for Nature's Oath company. Her cousin calls her back to their reservation, embroiling her in a fight to preserve their people's heritage amid corporate interests."
